player_extended_name;overall;position;age;height;weight;intl_rep;pace;dribbling;shooting;passing;defending;physicality;att_workrate;def_workrate
Dustin Bomheuer;69;CB;27;193;86;1;59.0;54.0;31.0;46.0;68.0;72.0;Med;Med
Sören Gonther;69;CB;31;186;88;1;66.0;44.0;33.0;45.0;69.0;68.0;Med;Med
Stefan Thesker;69;CB;27;190;85;1;45.0;56.0;39.0;49.0;68.0;74.0;Med;Med
Immanuel Höhn;69;CB;26;183;72;1;53.0;57.0;32.0;51.0;69.0;67.0;Med;Med
Kevin Kraus;69;CB;26;190;91;1;49.0;42.0;39.0;44.0;68.0;76.0;Med;Med
Stephan Salger;69;CB;28;183;76;1;72.0;61.0;38.0;60.0;68.0;72.0;Med;Med
Timo Beermann;69;CB;27;188;85;1;52.0;44.0;38.0;44.0;68.0;74.0;Med;Med
Norman Theuerkauf;69;CB;31;183;80;1;57.0;61.0;55.0;62.0;68.0;75.0;Med;Med
Sascha Mockenhaupt;69;CB;27;187;84;1;73.0;51.0;28.0;44.0;68.0;74.0;Med;Med
Marc Hornschuh;68;CB;27;188;82;1;56.0;59.0;40.0;59.0;67.0;66.0;Med;Med
Sebastian Schuppan;68;CB;32;187;83;1;61.0;59.0;49.0;57.0;67.0;75.0;Med;Med
Steven Ruprecht;68;CB;31;196;92;1;50.0;51.0;53.0;50.0;67.0;77.0;Med;Med
Sascha Kotysch;68;CB;30;188;76;1;41.0;50.0;38.0;59.0;69.0;69.0;Med;Med
Nicolai Rapp;68;CB;21;186;82;1;55.0;53.0;34.0;52.0;67.0;70.0;Med;Med
Fabian Kalig;68;CB;25;180;78;1;65.0;56.0;42.0;51.0;66.0;70.0;Med;Med
Christopher Handke;68;CB;29;191;80;1;50.0;41.0;28.0;41.0;68.0;75.0;Med;Med
Steffen Schäfer;68;CB;24;189;82;1;62.0;48.0;27.0;45.0;67.0;70.0;Med;Med
Julian Chabot;68;CB;20;192;89;1;43.0;48.0;27.0;43.0;66.0;76.0;Med;Med
Sebastian Schonlau;68;CB;24;185;77;1;69.0;55.0;36.0;54.0;67.0;71.0;Med;Med
Lukas Mühl;68;CB;21;189;83;1;65.0;57.0;37.0;57.0;65.0;74.0;Med;Med
Bjarne Thoelke;68;CB;26;191;84;1;45.0;55.0;33.0;45.0;67.0;74.0;Med;Med
Jannik Müller;68;CB;24;183;83;1;66.0;50.0;36.0;47.0;67.0;71.0;Med;Med
Marvin Friedrich;68;CB;22;193;78;1;61.0;47.0;36.0;55.0;67.0;68.0;Med;Med
Fabian Schönheim;68;CB;31;191;92;1;70.0;59.0;51.0;64.0;65.0;78.0;Med;Med
Christopher Schorch;67;CB;29;189;80;1;50.0;56.0;33.0;52.0;66.0;73.0;Med;Med
Lion Schweers;67;CB;22;188;81;1;60.0;43.0;31.0;45.0;65.0;73.0;Med;Med
Nils Röseler;67;CB;26;190;70;1;61.0;58.0;35.0;53.0;65.0;71.0;Med;Med
Torben Rehfeldt;66;CB;25;193;85;1;53.0;50.0;41.0;48.0;65.0;71.0;Med;Med
Timo Hübers;66;CB;22;190;82;1;64.0;54.0;39.0;54.0;65.0;71.0;Med;Med
Anthony Syhre;66;CB;23;188;83;1;64.0;36.0;27.0;30.0;65.0;76.0;Med;Med
Marc Endres;66;CB;27;189;83;1;51.0;40.0;27.0;48.0;65.0;72.0;Med;Med
Maximilian Ahlschwede;66;CB;28;186;78;1;73.0;52.0;29.0;48.0;66.0;75.0;Med;Med
Max Ehmer;65;CB;26;188;75;1;58.0;60.0;50.0;55.0;65.0;71.0;Med;Med
Felix Burmeister;65;CB;28;186;82;1;63.0;49.0;37.0;47.0;64.0;70.0;Med;Med
Robert Müller;65;CB;31;187;82;1;65.0;55.0;47.0;49.0;64.0;73.0;Med;Med
Mario Erb;65;CB;28;184;74;1;66.0;57.0;45.0;56.0;63.0;68.0;Med;Med
Marc Stein;65;CB;33;184;75;1;62.0;51.0;48.0;55.0;63.0;74.0;Med;Med
Marcel Gebers;65;CB;32;189;76;1;63.0;40.0;24.0;39.0;64.0;67.0;Med;Med
Martin Stoll;65;CB;35;188;80;1;34.0;49.0;40.0;44.0;66.0;60.0;Med;Med
Paul Jaeckel;65;CB;20;188;80;1;55.0;39.0;33.0;36.0;68.0;64.0;Med;Med
Dominic Volkmer;65;CB;22;194;88;1;51.0;45.0;36.0;42.0;63.0;72.0;Med;Med
Matthias Rahn;65;CB;28;195;92;1;33.0;29.0;22.0;29.0;65.0;72.0;Med;Med
Lars Lukas Mai;64;CB;18;190;88;1;54.0;41.0;30.0;40.0;65.0;70.0;Med;Med
Felix Schiller;64;CB;28;190;80;1;46.0;35.0;30.0;35.0;63.0;76.0;Med;Med
Ole Kittner;64;CB;30;189;83;1;46.0;48.0;38.0;50.0;63.0;68.0;Med;Med
Tobias Müller;64;CB;24;188;79;1;67.0;42.0;26.0;42.0;62.0;70.0;Med;Med
Marian Sarr;64;CB;23;189;83;1;63.0;58.0;39.0;56.0;64.0;61.0;Med;Med
Simon Lorenz;64;CB;21;186;85;1;69.0;51.0;29.0;49.0;62.0;66.0;Med;Med
Jan Mauersberger;64;CB;33;194;93;1;33.0;32.0;28.0;38.0;62.0;69.0;Med;Med
Henri Weigelt;64;CB;20;189;75;1;61.0;41.0;27.0;43.0;65.0;64.0;Med;Med
Felix Weber;64;CB;23;185;82;1;68.0;45.0;29.0;47.0;61.0;73.0;Med;Med
Marcel Seegert;64;CB;24;186;77;1;65.0;52.0;34.0;44.0;62.0;69.0;Med;Med
Christoph Greger;64;CB;21;193;82;1;54.0;38.0;28.0;36.0;63.0;73.0;Med;Med
Josef Welzmüller;64;CB;28;188;75;1;56.0;43.0;27.0;36.0;64.0;70.0;Med;Med
Alexander Winkler;64;CB;26;190;84;1;54.0;37.0;25.0;43.0;62.0;74.0;Med;Med
Boné Uaferro;64;CB;26;191;88;1;62.0;49.0;36.0;43.0;62.0;72.0;Med;Med
Hendrik Starostzik;64;CB;27;189;82;1;47.0;42.0;31.0;37.0;63.0;75.0;Med;Med
Marvin Schulz;64;CB;23;186;77;1;54.0;58.0;47.0;55.0;63.0;66.0;Med;Med
Patrick Mainka;63;CB;23;194;86;1;55.0;47.0;39.0;47.0;63.0;67.0;Med;Med
Tobias Schilk;63;CB;26;188;75;1;73.0;53.0;38.0;52.0;61.0;71.0;Med;Med
Felix Götze;63;CB;20;185;78;1;53.0;44.0;30.0;39.0;64.0;64.0;Med;Med
Hendrik Hansen;63;CB;23;195;88;1;53.0;37.0;28.0;38.0;61.0;75.0;Med;Med
Marius Grösch;63;CB;24;188;80;1;58.0;37.0;23.0;39.0;63.0;71.0;Med;Med
Justin Gerlach;63;CB;28;193;75;1;53.0;39.0;22.0;44.0;64.0;70.0;Med;Med
Maurice Trapp;63;CB;26;191;87;1;53.0;48.0;37.0;46.0;62.0;74.0;Med;Med
Ali Odabas;63;CB;24;187;78;1;68.0;41.0;24.0;42.0;61.0;66.0;Med;Med
Sören Reddemann;63;CB;22;190;79;1;62.0;46.0;31.0;45.0;62.0;69.0;Med;Med
Stephen Sama;63;CB;25;189;87;1;59.0;42.0;25.0;31.0;60.0;73.0;Med;Med
Maximilian Rossmann;63;CB;23;192;90;1;43.0;36.0;30.0;33.0;62.0;76.0;Med;Med
Oliver Steurer;63;CB;23;191;83;1;60.0;47.0;34.0;48.0;61.0;68.0;Med;Med
Thomas Blomeyer;63;CB;22;191;85;1;54.0;52.0;29.0;42.0;61.0;68.0;Med;Med
Stephan Ambrosius;63;CB;19;182;80;1;67.0;45.0;31.0;41.0;62.0;67.0;Med;Med
Florian Mayer;62;CB;20;191;87;1;53.0;41.0;34.0;38.0;63.0;64.0;Med;Med
Moritz Fritz;62;CB;25;192;84;1;56.0;48.0;40.0;47.0;59.0;75.0;Med;Med
Florian Baak;62;CB;19;185;75;1;52.0;46.0;33.0;42.0;59.0;67.0;Med;Med
Steffen Nkansah;62;CB;22;188;78;1;55.0;47.0;30.0;43.0;65.0;59.0;Med;Med
Alexander Sorge;62;CB;25;192;82;1;51.0;40.0;28.0;35.0;61.0;68.0;Med;Med
Fynn Arkenberg;62;CB;22;185;80;1;72.0;55.0;32.0;50.0;61.0;69.0;Med;Med
Korbinian Burger;62;CB;23;189;74;1;58.0;40.0;24.0;44.0;62.0;64.0;Med;Med
Michael Schüler;61;CB;21;187;80;1;72.0;37.0;23.0;32.0;60.0;73.0;Med;Med
Philipp Knechtel;61;CB;22;187;81;1;66.0;50.0;27.0;37.0;60.0;62.0;Med;Med
Jannes Vollert;61;CB;20;186;83;1;54.0;56.0;41.0;55.0;59.0;65.0;Med;Med
Maxime Awoudja;61;CB;20;188;86;1;67.0;41.0;34.0;46.0;59.0;66.0;Med;Med
Patric Pfeiffer;61;CB;19;196;91;1;59.0;49.0;30.0;40.0;60.0;63.0;Med;Med
Nico Beyer;61;CB;22;189;80;1;50.0;40.0;24.0;42.0;59.0;69.0;Med;Med
Yann Aurel Bisseck;61;CB;17;194;83;1;61.0;44.0;33.0;40.0;62.0;65.0;Med;Med
Lukas Gerlspeck;61;CB;20;186;79;1;66.0;50.0;36.0;43.0;61.0;63.0;Med;Med
Max Barnofsky;61;CB;23;191;81;1;54.0;40.0;36.0;36.0;57.0;76.0;Med;Med
Tim Rieder;61;CB;25;186;77;1;53.0;38.0;33.0;35.0;63.0;62.0;Med;Med
Brian Koglin;61;CB;21;186;79;1;68.0;47.0;21.0;45.0;60.0;62.0;Med;Med
Dominik Lanius;61;CB;21;195;85;1;60.0;40.0;32.0;39.0;59.0;72.0;Med;Med
Noel Knothe;60;CB;19;187;81;1;55.0;42.0;33.0;39.0;60.0;60.0;Med;Med
Tobias Fleckstein;60;CB;19;188;65;1;63.0;51.0;24.0;44.0;61.0;52.0;Med;Med
Lukas Gottwalt;58;CB;21;192;84;1;57.0;35.0;29.0;38.0;56.0;66.0;Med;Med
Jannik Borgmann;58;CB;20;196;83;1;54.0;41.0;29.0;41.0;55.0;70.0;Med;Med
Tobias Reithmeir;58;CB;19;190;87;1;56.0;40.0;28.0;34.0;59.0;61.0;Med;Med
Keven Schlotterbeck;58;CB;21;189;84;1;53.0;41.0;21.0;40.0;58.0;57.0;Med;Med
Noah Awassi;58;CB;20;193;83;1;64.0;40.0;30.0;41.0;58.0;62.0;Med;Med
Ahmet Gürleyen;57;CB;19;190;90;1;61.0;38.0;37.0;43.0;52.0;71.0;Med;Med
Max Grundmann;56;CB;20;184;76;1;59.0;41.0;22.0;27.0;55.0;67.0;Med;Med
Yannik Nuxoll;55;CB;21;190;85;1;49.0;33.0;25.0;28.0;54.0;64.0;Med;Med
Valentin Reitstetter;55;CB;20;187;79;1;64.0;48.0;24.0;36.0;54.0;62.0;Med;Med
Tjorve Mohr;55;CB;21;194;84;1;52.0;32.0;26.0;33.0;55.0;59.0;Med;Med
Niklas Kastenhofer;53;CB;19;185;75;1;58.0;40.0;26.0;30.0;52.0;58.0;Med;Med
Simon Haubrock;53;CB;18;186;76;1;57.0;34.0;26.0;34.0;53.0;59.0;Med;Med
Jannik Hoormann;53;CB;19;185;75;1;55.0;35.0;25.0;33.0;52.0;62.0;Med;Med
Sascha Heil;53;CB;19;184;72;1;62.0;32.0;24.0;28.0;55.0;56.0;Med;Med
Antonios Papadopoulos;53;CB;19;185;78;1;64.0;40.0;27.0;28.0;52.0;63.0;Med;Med
James Tarkowski;80;CB;25;192;81;1;59.0;67.0;43.0;67.0;80.0;77.0;Med;Med
Rob Holding;74;CB;23;189;75;1;60.0;64.0;34.0;55.0;74.0;73.0;Med;Med
Ben Gibson;74;CB;25;185;78;1;60.0;50.0;26.0;45.0;75.0;72.0;Med;Med
Jack Stephens;74;CB;24;185;75;1;59.0;66.0;42.0;57.0;74.0;69.0;Med;Med
Jack O'Connell;73;CB;24;191;85;1;64.0;54.0;37.0;48.0;73.0;79.0;Med;Med
Tom Lees;73;CB;27;185;73;1;62.0;62.0;36.0;59.0;72.0;74.0;Med;Med
Shaun Hutchinson;73;CB;27;188;80;1;58.0;56.0;29.0;53.0;72.0;81.0;Med;Med
Adam Webster;72;CB;23;191;75;1;68.0;66.0;29.0;52.0;71.0;72.0;Med;Med
Mark Beevers;71;CB;28;193;80;1;51.0;46.0;38.0;44.0;70.0;78.0;Med;Med
Jake Cooper;71;CB;23;193;85;1;54.0;50.0;31.0;47.0;71.0;74.0;Med;Med
Dael Fry;70;CB;21;191;72;1;65.0;51.0;29.0;46.0;70.0;67.0;Med;Med
Michael Mancienne;70;CB;30;186;86;1;74.0;61.0;35.0;54.0;69.0;74.0;Med;Med
Jason Shackell;70;CB;35;193;83;1;46.0;57.0;35.0;51.0;69.0;72.0;Med;Med
Michael Morrison;70;CB;30;183;76;1;50.0;44.0;31.0;50.0;69.0;76.0;Med;Med
David Wheater;70;CB;31;196;87;1;43.0;46.0;44.0;48.0;70.0;76.0;Med;Med
Joe Worrall;70;CB;21;190;90;1;60.0;38.0;25.0;45.0;70.0;75.0;Med;Med
Liam Ridgewell;70;CB;34;188;79;1;64.0;58.0;46.0;60.0;68.0;75.0;Med;Med
Marc Roberts;69;CB;28;193;81;1;58.0;47.0;24.0;40.0;67.0;73.0;Med;Med
Alex Baptiste;69;CB;32;180;74;1;59.0;60.0;38.0;51.0;67.0;71.0;Med;Med
Richard Stearman;69;CB;31;191;76;1;48.0;51.0;39.0;49.0;68.0;74.0;Med;Med
Peter Hartley;68;CB;30;185;89;1;48.0;46.0;34.0;51.0;65.0;81.0;Med;Med
Reece Oxford;68;CB;19;191;78;1;69.0;59.0;33.0;54.0;66.0;68.0;Med;Med
John Mousinho;68;CB;32;186;79;1;54.0;62.0;55.0;58.0;67.0;77.0;Med;Med
Angus MacDonald;68;CB;25;184;70;1;62.0;47.0;26.0;44.0;68.0;70.0;Med;Med
Byron Webster;68;CB;31;191;88;1;51.0;47.0;39.0;46.0;64.0;76.0;Med;Med
Jake Wright;68;CB;32;185;70;1;54.0;46.0;28.0;47.0;68.0;65.0;Med;Med
Chey Dunkley;68;CB;26;188;85;1;58.0;50.0;35.0;43.0;67.0;73.0;Med;Med
Matthew Pennington;67;CB;24;185;77;1;64.0;51.0;33.0;53.0;68.0;67.0;Med;Med
Kortney Hause;67;CB;23;191;93;1;61.0;54.0;45.0;56.0;66.0;71.0;Med;Med
Adam Jackson;67;CB;24;187;80;1;52.0;53.0;29.0;41.0;66.0;68.0;Med;Med
Ezri Konsa;66;CB;20;183;77;1;76.0;55.0;38.0;52.0;64.0;67.0;Med;Med
Darius Charles;66;CB;30;185;85;1;61.0;62.0;57.0;52.0;60.0;84.0;Med;Med
Krystian Pearce;66;CB;28;188;95;1;66.0;52.0;30.0;40.0;63.0;79.0;Med;Med
Adedeji Oshilaja;66;CB;25;181;75;1;83.0;57.0;26.0;45.0;64.0;75.0;Med;Med
Scott Wootton;66;CB;27;188;78;1;52.0;55.0;24.0;50.0;66.0;69.0;Med;Med
Ethan Ebanks-Landell;66;CB;25;188;88;1;58.0;53.0;48.0;49.0;66.0;72.0;Med;Med
Reece Burke;66;CB;22;189;81;1;62.0;53.0;28.0;47.0;66.0;67.0;Med;Med
Tom Parkes;65;CB;26;188;79;1;58.0;53.0;33.0;51.0;60.0;79.0;Med;Med
Jordan Willis;65;CB;24;180;70;1;77.0;56.0;25.0;43.0;63.0;71.0;Med;Med
Anthony Stewart;65;CB;26;183;76;1;59.0;47.0;22.0;45.0;64.0;73.0;Med;Med
Tosin Adarabioyo;65;CB;21;196;80;1;52.0;53.0;29.0;43.0;65.0;68.0;Med;Med
Gary Liddle;65;CB;32;185;79;1;48.0;57.0;45.0;56.0;60.0;74.0;Med;Med
Dean Lewington;65;CB;34;183;86;1;44.0;57.0;34.0;59.0;64.0;74.0;Med;Med
Leon Legge;65;CB;33;193;80;1;46.0;40.0;26.0;39.0;62.0;82.0;Med;Med
Harrison McGahey;65;CB;23;187;85;1;79.0;45.0;32.0;50.0;65.0;71.0;Med;Med
Ryan Edwards;65;CB;24;188;76;1;60.0;43.0;34.0;42.0;67.0;67.0;Med;Med
Trevoh Chalobah;65;CB;19;190;75;1;70.0;57.0;37.0;50.0;64.0;67.0;Med;Med
Zak Vyner;65;CB;21;187;68;1;70.0;57.0;31.0;47.0;63.0;69.0;Med;Med
Leon Barnett;64;CB;32;185;72;1;58.0;47.0;34.0;43.0;62.0;76.0;Med;Med
Ro-Shaun Williams;64;CB;20;184;75;1;73.0;52.0;33.0;47.0;63.0;60.0;Med;Med
Johnny Mullins;64;CB;32;180;80;1;62.0;52.0;37.0;51.0;61.0;69.0;Med;Med
John White;64;CB;32;185;78;1;61.0;55.0;35.0;53.0;63.0;71.0;Med;Med
Aaron Martin;64;CB;29;190;76;1;51.0;44.0;39.0;38.0;65.0;68.0;Med;Med
Nathaniel Knight-Percival;64;CB;31;182;73;1;65.0;47.0;30.0;42.0;62.0;74.0;Med;Med
Curtis Tilt;64;CB;27;192;75;1;59.0;37.0;23.0;35.0;64.0;73.0;Med;Med
Omar Sowunmi;64;CB;22;199;93;1;63.0;38.0;34.0;38.0;62.0;81.0;Med;Med
Luke Waterfall;64;CB;28;188;84;1;49.0;42.0;37.0;34.0;63.0;72.0;Med;Med
Rod McDonald;64;CB;26;191;82;1;58.0;55.0;29.0;47.0;62.0;72.0;Med;Med
Oliver Lancashire;64;CB;30;186;75;1;51.0;38.0;30.0;40.0;63.0;73.0;Med;Med
Frankie Kent;64;CB;22;188;76;1;64.0;56.0;30.0;46.0;63.0;70.0;Med;Med
Charlie Goode;63;CB;23;196;75;1;61.0;45.0;26.0;40.0;62.0;68.0;Med;Med
Ashley Eastham;63;CB;27;191;90;1;48.0;45.0;22.0;42.0;60.0;76.0;Med;Med
Farrend Rawson;63;CB;22;193;73;1;58.0;43.0;26.0;41.0;62.0;73.0;Med;Med
Will Nightingale;63;CB;23;185;84;1;69.0;43.0;25.0;34.0;64.0;67.0;Med;Med
Dan Scarr;63;CB;23;188;85;1;64.0;50.0;40.0;45.0;62.0;68.0;Med;Med
Jordan Turnbull;63;CB;23;185;72;1;61.0;50.0;27.0;45.0;61.0;71.0;Med;Med
Mark Ellis;62;CB;30;188;78;1;63.0;44.0;28.0;39.0;59.0;75.0;Med;Med
Keith Lowe;62;CB;33;188;87;1;52.0;45.0;36.0;42.0;61.0;73.0;Med;Med
Jamie Grimes;62;CB;27;188;76;1;59.0;37.0;28.0;42.0;60.0;69.0;Med;Med
Harry Davis;62;CB;27;185;83;1;54.0;42.0;34.0;41.0;62.0;68.0;Med;Med
Cameron Humphreys-Grant;62;CB;20;187;80;1;66.0;50.0;32.0;48.0;60.0;67.0;Med;Med
Michael Raynes;62;CB;30;193;76;1;47.0;34.0;26.0;39.0;60.0;75.0;Med;Med
Fraser Franks;62;CB;27;183;69;1;66.0;43.0;40.0;42.0;59.0;75.0;Med;Med
Ben Nugent;62;CB;24;196;83;1;51.0;32.0;35.0;36.0;61.0;72.0;Med;Med
Luke Wilkinson;62;CB;26;188;74;1;55.0;35.0;34.0;37.0;62.0;78.0;Med;Med
George Taft;62;CB;25;191;74;1;55.0;50.0;36.0;52.0;58.0;77.0;Med;Med
Kieran Kennedy;62;CB;25;183;70;1;61.0;43.0;23.0;38.0;61.0;65.0;Med;Med
Alfie Jones;62;CB;20;182;70;1;45.0;42.0;29.0;35.0;64.0;62.0;Med;Med
Ben Heneghan;62;CB;25;195;79;1;45.0;41.0;24.0;39.0;59.0;69.0;Med;Med
William Boyle;61;CB;23;191;84;1;56.0;36.0;27.0;37.0;60.0;71.0;Med;Med
Jack Simpson;61;CB;21;184;83;1;44.0;42.0;33.0;37.0;62.0;60.0;Med;Med
Nathan Smith;61;CB;22;182;72;1;60.0;32.0;25.0;28.0;63.0;72.0;Med;Med
Joe Davis;61;CB;24;183;67;1;54.0;42.0;23.0;33.0;62.0;66.0;Med;Med
Nathan Ferguson;60;CB;18;181;70;1;58.0;38.0;32.0;37.0;63.0;57.0;Med;Med
Emmanuel Onariase;60;CB;21;188;77;1;58.0;49.0;31.0;36.0;58.0;69.0;Med;Med
Macaulay Gillesphey;60;CB;22;180;70;1;45.0;45.0;33.0;48.0;59.0;65.0;Med;Med
Rob Dickie;60;CB;22;183;74;1;62.0;52.0;35.0;43.0;56.0;70.0;Med;Med
Lloyd Jones;60;CB;22;190;75;1;44.0;38.0;30.0;41.0;58.0;60.0;Med;Med
Nathan McGinley;60;CB;22;191;75;1;54.0;47.0;35.0;42.0;60.0;67.0;Med;Med
Ben Wilmot;59;CB;18;188;80;1;51.0;29.0;29.0;37.0;58.0;66.0;Med;Med
Luke Woolfenden;59;CB;19;183;70;1;64.0;39.0;27.0;47.0;58.0;59.0;Med;Med
Christian Mbulu;58;CB;22;188;86;1;61.0;46.0;26.0;26.0;57.0;71.0;Med;Med
George Edmundson;58;CB;21;185;75;1;55.0;41.0;27.0;36.0;57.0;66.0;Med;Med
Alex Lacey;58;CB;25;188;75;1;52.0;42.0;31.0;36.0;59.0;63.0;Med;Med
Luke Croll;58;CB;23;185;76;1;64.0;48.0;26.0;40.0;57.0;64.0;Med;Med
Oran Jackson;57;CB;19;187;75;1;59.0;44.0;24.0;34.0;56.0;62.0;Med;Med
Stefan O'Connor;57;CB;21;186;81;1;51.0;43.0;30.0;39.0;55.0;64.0;Med;Med
Robbie McKenzie;57;CB;20;179;79;1;66.0;57.0;38.0;51.0;54.0;61.0;Med;Med
Dion Conroy;57;CB;22;181;78;1;53.0;44.0;24.0;42.0;55.0;60.0;Med;Med
Josh Pask;57;CB;20;187;76;1;62.0;39.0;26.0;38.0;55.0;63.0;Med;Med
Lewis Ritson;57;CB;19;180;64;1;59.0;53.0;37.0;54.0;55.0;54.0;Med;Med
Saul Shotton;57;CB;17;184;75;1;55.0;36.0;23.0;38.0;55.0;62.0;Med;Med
Sam Graham;57;CB;18;187;80;1;75.0;38.0;27.0;33.0;55.0;67.0;Med;Med
Jordan Thompson;56;CB;19;183;76;1;77.0;48.0;31.0;39.0;54.0;61.0;Med;Med
Adam Curry;56;CB;21;187;79;1;63.0;51.0;33.0;46.0;56.0;61.0;Med;Med
Rarmani Edmonds-Green;55;CB;19;181;73;1;57.0;39.0;24.0;32.0;56.0;57.0;Med;Med
Toby Sibbick;55;CB;19;183;69;1;71.0;52.0;29.0;44.0;54.0;62.0;Med;Med
Theo Vassell;55;CB;21;184;70;1;70.0;49.0;26.0;35.0;54.0;65.0;Med;Med
Akin Famewo;55;CB;19;180;66;1;55.0;38.0;21.0;32.0;52.0;66.0;Med;Med
Aden Baldwin;54;CB;21;183;70;1;66.0;39.0;22.0;39.0;51.0;65.0;Med;Med
Harry Darling;54;CB;19;181;75;1;70.0;36.0;23.0;32.0;51.0;67.0;Med;Med
Paul Kalambayi;54;CB;19;183;70;1;57.0;30.0;22.0;28.0;54.0;68.0;Med;Med
Giles Phillips;53;CB;21;187;83;1;55.0;33.0;28.0;27.0;53.0;63.0;Med;Med
Matt Casey;53;CB;18;204;70;1;56.0;36.0;25.0;32.0;52.0;59.0;Med;Med
Louis John;53;CB;24;190;85;1;64.0;31.0;24.0;32.0;51.0;65.0;Med;Med
Ash Kigbu;53;CB;19;184;73;1;52.0;37.0;23.0;33.0;52.0;63.0;Med;Med
Jamie McCombe;53;CB;35;196;79;1;25.0;24.0;22.0;30.0;51.0;59.0;Med;Med
Frankie Musonda;53;CB;20;183;71;1;55.0;31.0;23.0;31.0;53.0;62.0;Med;Med
Kenneth Yao;53;CB;20;185;78;1;55.0;31.0;24.0;31.0;54.0;59.0;Med;Med
Josh Heaton;51;CB;22;185;68;1;53.0;33.0;26.0;28.0;54.0;49.0;Med;Med
Zouhair Feddal;80;CB;28;191;83;1;57.0;59.0;49.0;61.0;81.0;77.0;Med;Med
Raúl Michel Melo da Silva;80;CB;28;187;81;1;51.0;59.0;54.0;59.0;80.0;84.0;Med;Med
Germán Pezzella;79;CB;27;186;81;1;52.0;57.0;49.0;47.0;80.0;73.0;Med;Med
Gabriel Mercado;79;CB;31;180;83;1;75.0;64.0;61.0;66.0;79.0;80.0;Med;Med
Manuel Akanji;79;CB;23;187;85;1;81.0;71.0;43.0;66.0;79.0;78.0;Med;Med
Viktor Vasin;78;CB;30;192;83;1;68.0;47.0;42.0;59.0;78.0;82.0;Med;Med
